--- stopped by SIGTTOU ---
COMMAND     PID   USER   FD   TYPE DEVICE SIZE/OFF    NODE NAME
nano    1312932 carlos  cwd    DIR  259,2     4096 3538946 /home/carlos
nano    1312932 carlos  rtd    DIR  259,2     4096       2 /
nano    1312932 carlos  txt    REG  259,2   287480 8527533 /usr/bin/nano
nano    1312932 carlos  mem    REG  259,2  3052768 8559537 /usr/lib/locale/locale-archive
nano    1312932 carlos  mem    REG  259,2  1926256 8526048 /usr/lib/x86_64-linux-gnu/libc.so.6
nano    1312932 carlos  mem    REG  259,2   204088 8544705 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
nano    1312932 carlos  mem    REG  259,2   231344 8544074 /usr/lib/x86_64-linux-gnu/libncursesw.so.6.4
nano    1312932 carlos  mem    REG  259,2   210792 8519703 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
nano    1312932 carlos    0u   CHR  136,0      0t0       3 /dev/pts/0
nano    1312932 carlos    1u   CHR  136,0      0t0       3 /dev/pts/0
nano    1312932 carlos    2u   CHR  136,0      0t0       3 /dev/pts/0
=======
COMMAND     PID   USER   FD   TYPE DEVICE SIZE/OFF    NODE NAME
nano    1312932 carlos  cwd    DIR  259,2     4096 3538946 /home/carlos
nano    1312932 carlos  rtd    DIR  259,2     4096       2 /
nano    1312932 carlos  txt    REG  259,2   287480 8527533 /usr/bin/nano
nano    1312932 carlos  mem    REG  259,2  3052768 8559537 /usr/lib/locale/locale-archive
nano    1312932 carlos  mem    REG  259,2  1926256 8526048 /usr/lib/x86_64-linux-gnu/libc.so.6
nano    1312932 carlos  mem    REG  259,2   204088 8544705 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
nano    1312932 carlos  mem    REG  259,2   231344 8544074 /usr/lib/x86_64-linux-gnu/libncursesw.so.6.4
nano    1312932 carlos  mem    REG  259,2   210792 8519703 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
nano    1312932 carlos    0u   CHR  136,0      0t0       3 /dev/pts/0
nano    1312932 carlos    1u   CHR  136,0      0t0       3 /dev/pts/0
nano    1312932 carlos    2u   CHR  136,0      0t0       3 /dev/pts/0
=======
COMMAND     PID   USER   FD   TYPE DEVICE SIZE/OFF    NODE NAME
nano    1312932 carlos  cwd    DIR  259,2     4096 3538946 /home/carlos
nano    1312932 carlos  rtd    DIR  259,2     4096       2 /
nano    1312932 carlos  txt    REG  259,2   287480 8527533 /usr/bin/nano
nano    1312932 carlos  mem    REG  259,2  3052768 8559537 /usr/lib/locale/locale-archive
